STATION_ID,STATION_TYPE,YEAR,AVG_STATION_DEPTH_m
RT18191,TidalCreek,2018,1.50
RT99001,TidalCreek,1999,4.00
RT99003,TidalCreek,1999,4.50
RT99004,TidalCreek,1999,1.30
RT99005,TidalCreek,1999,1.00
RT99006,TidalCreek,1999,1.00
RT99007,TidalCreek,1999,3.30
RT99008,TidalCreek,1999,2.80
RT99009,TidalCreek,1999,2.00
RT99010,TidalCreek,1999,2.00
RT99012,TidalCreek,1999,4.00
RT99013,TidalCreek,1999,3.00
RT99017,TidalCreek,1999,1.10
RT99019,TidalCreek,1999,2.00
RT99021,TidalCreek,1999,1.50
RT99022,TidalCreek,1999,2.00
RT99024,TidalCreek,1999,3.00
RT99026,TidalCreek,1999,2.00
RT99027,TidalCreek,1999,2.80
